id,repo_id,author,title,status,created_at,merged_at
1,1,rodriguezjohn,Possible power job personal so course.,merged,2024-08-15,2024-08-16
2,16,fuenteslaura,Challenge instead bring total school.,closed,2025-03-03,
3,23,ichambers,Likely teacher one cut notice street.,closed,2025-06-17,
4,25,ystephens,Bill summer it.,merged,2024-09-02,2024-09-04
5,20,ssalinas,Say other never fact maintain main.,closed,2025-05-26,
6,3,ichambers,Very toward test discussion art affect.,merged,2025-10-02,2025-10-16
7,30,gabriel90,As throughout individual list manager voice.,open,2025-09-21,
8,39,ystephens,Again explain court gas discussion.,closed,2025-04-06,
9,28,jeffrey88,Two table resource life third.,open,2025-01-03,
10,9,john26,Where strategy pull same somebody.,closed,2026-01-06,
11,23,vrasmussen,Perform executive see project.,open,2026-03-03,
12,26,erinpierce,Choose man soldier wall.,merged,2024-10-29,2024-11-01
13,9,fuenteslaura,Decide another adult thing.,merged,2025-07-22,2025-07-26
14,2,jacqueline89,Company teacher me southern.,closed,2025-04-13,
15,11,nhahn,Pay building difference.,closed,2025-03-30,
16,3,mjones,Size show show news to.,open,2025-01-31,
17,17,vrasmussen,Page bit anyone watch sometimes while.,closed,2026-04-11,
18,40,erinpierce,Sit participant teach.,closed,2026-01-30,
19,4,rodriguezjohn,Among black picture that treat church.,closed,2024-10-09,
20,2,erinpierce,Seven marriage that child hair.,merged,2025-02-25,2025-03-08
21,8,mjones,Summer keep indeed.,closed,2026-03-17,
22,25,nhahn,Strong list expert commercial.,open,2026-02-09,
23,17,iaguilar,Guess professor charge send instead.,closed,2025-02-06,
24,10,fuenteslaura,Including important learn system some.,closed,2025-01-09,
25,1,ichambers,Kind show response.,closed,2025-04-17,
26,7,rodriguezjohn,Be fire word.,open,2025-08-09,
27,18,jacqueline89,Hotel also two.,closed,2024-11-24,
28,9,mjones,Around place require produce mind fast.,closed,2024-11-14,
29,40,nhahn,Them return finish general still too.,merged,2025-05-16,2025-05-25
30,8,vrasmussen,Record land day.,open,2025-10-16,
31,13,jacqueline89,Present recently thought sit identify culture.,merged,2025-08-28,2025-09-05
32,17,grodriguez,Mr hope rest.,merged,2025-03-04,2025-03-17
33,13,john26,Yeah exist behavior necessary miss serious.,closed,2026-05-01,
34,27,ichambers,Three music else.,closed,2024-11-20,
