id,station_id,date,temp_high,temp_low,precipitation,wind_speed
1,1,2024-01-01,31.4,22.2,43.9,37.0
2,1,2024-01-13,30.9,23.3,32.3,6.6
3,1,2024-01-23,32.2,24.1,13.2,70.9
4,1,2024-01-25,31.4,17.0,31.6,65.0
5,1,2024-02-22,29.0,23.5,13.0,71.5
6,1,2024-03-11,24.0,16.8,44.6,47.2
7,1,2024-03-07,5.4,-2.2,18.2,0.8
8,1,2024-03-11,35.8,23.2,8.3,41.1
9,1,2024-04-22,6.8,-4.0,43.6,11.7
10,1,2024-05-06,34.8,26.0,11.6,21.1
11,1,2024-04-10,-0.0,-10.7,18.1,37.6
12,1,2024-06-03,32.5,24.4,5.2,77.5
13,1,2024-05-12,32.0,23.1,8.7,52.3
14,1,2024-06-05,25.9,16.0,12.6,77.8
15,1,2024-05-20,19.8,8.4,24.3,38.6
16,1,2024-04-15,17.9,12.1,3.9,51.5
17,1,2024-06-09,4.0,-4.6,40.8,52.9
18,1,2024-08-09,33.8,22.6,23.9,16.9
19,1,2024-06-11,25.4,17.4,6.4,47.4
20,1,2024-06-20,22.4,14.7,2.8,20.7
21,1,2024-06-29,20.1,7.9,31.9,70.3
22,1,2024-08-19,36.2,27.3,23.6,38.5
23,1,2024-08-08,33.8,21.4,41.0,14.6
24,1,2024-09-10,7.8,-5.8,29.8,5.5
25,1,2024-11-08,13.1,7.2,43.0,40.3
26,1,2024-11-21,33.7,25.0,45.1,48.0
27,1,2024-07-27,4.7,-8.7,27.0,0.1
28,1,2024-12-17,20.1,13.6,26.5,18.4
29,1,2025-01-27,30.9,21.0,37.1,60.9
30,1,2024-08-20,15.5,5.4,45.5,6.7
31,1,2025-01-25,7.3,-1.1,0.4,41.8
32,1,2024-08-05,13.2,3.2,20.4,8.5
33,1,2025-02-20,24.6,13.9,21.2,29.3
34,2,2024-01-01,29.7,18.5,24.1,29.6
35,2,2024-01-15,9.0,1.1,35.3,58.9
36,2,2024-01-17,29.6,18.7,8.1,17.2
37,2,2024-02-09,33.2,20.8,34.2,4.2
38,2,2024-02-22,35.6,31.0,7.3,74.1
39,2,2024-03-06,2.1,-5.7,30.5,58.0
40,2,2024-03-19,24.7,13.3,29.9,75.7
41,2,2024-03-04,25.2,17.4,32.8,64.3
42,2,2024-03-29,9.5,-2.3,34.9,49.2
43,2,2024-03-04,15.3,1.5,4.3,22.1
44,2,2024-05-10,13.5,3.6,25.9,59.0
45,2,2024-03-29,37.1,25.4,28.0,46.6
46,2,2024-05-24,37.2,27.9,9.7,74.4
47,2,2024-04-01,9.9,2.8,3.6,23.5
48,2,2024-04-22,34.9,19.9,40.7,46.0
49,2,2024-07-29,39.0,27.0,37.9,76.9
50,2,2024-08-12,29.6,15.1,24.1,20.6
51,2,2024-08-09,28.3,14.3,11.5,25.3
52,2,2024-08-04,17.7,8.7,12.4,7.4
53,2,2024-08-16,5.6,-6.8,17.7,71.5
54,2,2024-08-08,8.8,-5.3,9.5,59.0
55,2,2024-07-29,31.7,21.2,10.1,20.0
56,2,2024-09-21,3.9,-6.3,33.8,53.1
57,2,2024-06-10,30.8,23.3,24.1,49.7
58,2,2024-12-02,38.2,25.5,13.7,14.6
59,2,2024-10-02,17.4,8.1,26.3,33.9
60,2,2024-07-01,19.5,9.0,8.7,78.1
61,2,2025-01-13,9.7,1.6,19.0,8.1
62,3,2024-01-01,6.1,-1.1,47.9,27.4
63,3,2024-01-10,18.2,8.7,18.6,68.3
64,3,2024-01-23,18.5,5.2,34.3,65.1
65,3,2024-02-03,32.5,20.0,9.8,64.0
66,3,2024-02-06,16.0,9.4,6.7,71.5
67,3,2024-03-01,30.2,21.0,28.4,31.9
68,3,2024-02-24,4.3,-7.5,31.5,36.0
69,3,2024-03-25,9.6,0.0,40.5,27.5
70,3,2024-04-14,7.1,-7.9,9.9,46.1
71,3,2024-03-22,37.9,30.2,25.5,62.0
72,3,2024-05-20,34.9,26.9,31.6,11.6
73,3,2024-04-09,28.2,16.1,30.6,32.4
74,3,2024-04-06,2.2,-5.7,32.7,56.8
75,3,2024-06-18,10.5,-1.3,18.2,47.0
76,3,2024-07-15,14.7,9.4,36.4,53.0
77,3,2024-04-30,7.8,0.8,46.8,37.9
78,3,2024-04-22,0.4,-10.5,4.2,21.0
79,3,2024-06-02,6.0,-6.0,11.5,59.0
80,3,2024-09-09,22.8,13.0,1.4,53.1
81,3,2024-08-16,34.4,22.3,46.7,43.9
82,3,2024-06-29,40.0,30.7,29.9,50.5
83,3,2024-09-30,21.8,12.1,17.4,43.2
84,3,2024-06-25,16.9,9.1,15.2,0.0
85,3,2024-07-26,13.6,6.7,46.1,75.8
86,3,2024-12-02,13.6,0.2,29.9,63.7
87,3,2024-10-27,9.8,-2.1,12.5,57.2
88,3,2024-12-04,31.5,25.7,31.3,41.3
89,3,2024-10-24,12.8,-0.5,20.6,68.3
90,3,2024-09-09,3.1,-4.3,22.6,56.0
91,3,2025-02-10,4.6,0.2,26.7,14.9
92,3,2024-08-28,9.0,1.7,0.4,7.2
93,4,2024-01-01,8.2,-3.0,24.9,29.7
94,4,2024-01-08,15.3,0.5,2.8,62.1
95,4,2024-01-17,19.8,9.4,12.5,30.5
96,4,2024-01-22,6.5,-3.6,38.6,35.4
97,4,2024-01-29,9.4,0.4,33.3,16.7
98,4,2024-03-06,26.1,18.3,31.5,3.4
99,4,2024-02-18,11.0,1.9,44.4,69.1
100,4,2024-03-11,37.3,29.3,0.8,63.6
101,4,2024-03-05,14.3,3.0,29.1,55.3
102,4,2024-03-22,12.4,6.9,4.6,49.5
103,4,2024-03-11,3.3,-8.8,39.6,10.1
104,4,2024-04-20,13.0,1.8,17.4,71.3
105,4,2024-04-30,0.1,-10.5,12.5,3.2
106,4,2024-07-01,22.6,12.4,28.3,43.5
107,4,2024-06-17,27.9,17.3,45.7,44.4
108,4,2024-04-30,20.9,9.3,27.1,36.3
109,4,2024-07-27,31.6,18.6,18.2,49.6
110,4,2024-07-23,29.8,18.6,19.4,41.9
111,4,2024-09-09,28.6,21.9,20.5,25.8
112,4,2024-06-01,18.3,8.9,6.5,69.9
113,5,2024-01-01,17.0,9.0,41.8,52.6
114,5,2024-01-12,0.3,-9.3,0.7,73.7
115,5,2024-01-29,39.1,27.3,31.9,28.9
116,5,2024-02-09,34.6,25.5,30.8,42.3
117,5,2024-02-02,30.8,25.1,26.0,8.1
118,5,2024-02-20,19.4,11.1,12.4,50.0
119,5,2024-02-24,22.7,10.9,38.3,46.1
120,5,2024-04-08,27.7,20.5,39.6,44.0
121,5,2024-04-06,26.5,15.7,46.7,72.2
122,5,2024-04-18,33.3,23.0,41.3,25.9
123,5,2024-04-10,20.8,10.9,46.3,20.3
124,5,2024-06-03,17.3,6.5,49.1,47.7
125,5,2024-04-18,38.5,30.9,11.1,68.5
126,5,2024-04-01,33.5,18.9,46.0,40.9
127,5,2024-05-06,3.5,-4.2,13.2,71.2
128,5,2024-05-30,11.2,1.8,20.0,73.4
129,5,2024-05-08,30.7,20.9,41.3,55.2
130,5,2024-05-16,22.6,12.4,28.8,6.3
131,5,2024-05-06,35.9,24.6,21.7,74.4
132,5,2024-06-01,33.2,23.9,30.1,0.9
133,5,2024-09-17,2.3,-6.8,28.2,26.1
134,5,2024-07-29,7.2,-6.9,48.6,60.2
135,5,2024-06-25,7.6,-0.5,6.6,6.6
136,5,2024-06-10,20.5,12.5,21.7,55.8
137,5,2024-08-04,17.4,9.9,28.6,44.9
138,5,2024-09-07,8.3,0.1,34.2,46.1
139,6,2024-01-01,16.0,8.0,29.7,1.9
140,6,2024-01-12,5.9,-5.2,40.1,49.9
141,6,2024-01-29,3.7,-6.4,18.7,60.6
142,6,2024-01-25,1.8,-8.2,46.3,69.5
143,6,2024-02-14,1.7,-7.1,22.5,1.8
144,6,2024-02-20,27.9,19.3,37.5,43.9
145,6,2024-02-24,28.8,18.5,45.3,42.1
146,6,2024-03-18,5.5,-4.9,30.9,4.2
147,6,2024-02-26,3.6,-8.3,45.6,28.8
148,6,2024-03-13,3.0,-10.1,11.6,30.5
