id,repo_id,author,title,status,created_at,merged_at
1,1,rodriguezjohn,Possible power job personal so course.,merged,2024-08-12,2024-08-13
2,16,fuenteslaura,Challenge instead bring total school.,closed,2025-02-28,
3,23,ichambers,Likely teacher one cut notice street.,closed,2025-06-14,
4,25,ystephens,Bill summer it.,merged,2024-08-30,2024-09-01
5,20,ssalinas,Say other never fact maintain main.,closed,2025-05-23,
6,3,ichambers,Very toward test discussion art affect.,merged,2025-09-29,2025-10-13
7,30,gabriel90,As throughout individual list manager voice.,open,2025-09-18,
8,39,ystephens,Again explain court gas discussion.,closed,2025-04-03,
9,28,jeffrey88,Two table resource life third.,open,2024-12-31,
10,9,john26,Where strategy pull same somebody.,closed,2026-01-03,
11,23,vrasmussen,Perform executive see project.,open,2026-02-28,
12,26,erinpierce,Choose man soldier wall.,merged,2024-10-26,2024-10-29
13,9,fuenteslaura,Decide another adult thing.,merged,2025-07-19,2025-07-23
14,2,jacqueline89,Company teacher me southern.,closed,2025-04-10,
15,11,nhahn,Pay building difference.,closed,2025-03-27,
16,3,mjones,Size show show news to.,open,2025-01-28,
17,17,vrasmussen,Page bit anyone watch sometimes while.,closed,2026-04-08,
18,40,erinpierce,Sit participant teach.,closed,2026-01-27,
19,4,rodriguezjohn,Among black picture that treat church.,closed,2024-10-06,
20,2,erinpierce,Seven marriage that child hair.,merged,2025-02-22,2025-03-05
21,8,mjones,Summer keep indeed.,closed,2026-03-14,
22,25,nhahn,Strong list expert commercial.,open,2026-02-06,
23,17,iaguilar,Guess professor charge send instead.,closed,2025-02-03,
24,10,fuenteslaura,Including important learn system some.,closed,2025-01-06,
25,1,ichambers,Kind show response.,closed,2025-04-14,
26,7,rodriguezjohn,Be fire word.,open,2025-08-06,
27,18,jacqueline89,Hotel also two.,closed,2024-11-21,
28,9,mjones,Around place require produce mind fast.,closed,2024-11-11,
29,40,nhahn,Them return finish general still too.,merged,2025-05-13,2025-05-22
30,8,vrasmussen,Record land day.,open,2025-10-13,
31,13,jacqueline89,Present recently thought sit identify culture.,merged,2025-08-25,2025-09-02
32,17,grodriguez,Mr hope rest.,merged,2025-03-01,2025-03-14
33,13,john26,Yeah exist behavior necessary miss serious.,closed,2026-04-28,
34,27,ichambers,Three music else.,closed,2024-11-17,
35,36,iaguilar,Risk would book art.,merged,2026-03-24,2026-03-25
36,31,john26,Medical buy series walk large occur accept.,merged,2025-04-22,2025-05-04
37,1,rodriguezjohn,South writer not thus.,merged,2025-03-28,2025-03-29
38,37,rodriguezjohn,Suddenly doctor federal project spring of.,merged,2025-10-25,2025-10-27
39,10,nhahn,Mind easy foreign old state.,open,2024-11-03,
40,5,gabriel90,Chair international include.,closed,2025-04-14,
41,7,jeffrey88,Thousand live land hard moment.,closed,2024-09-29,
42,15,iaguilar,Single the once PM you ready.,open,2025-09-27,
43,17,iaguilar,Statement certain camera represent can.,open,2026-06-16,
44,12,grodriguez,Brother defense list second want hard.,merged,2025-12-21,2025-12-23
45,19,john26,System book hard face mission brother.,merged,2026-06-19,2026-07-03
46,21,mjones,Field magazine social central operation.,closed,2025-03-03,
47,8,nhahn,Threat democratic standard major.,closed,2024-08-28,
48,9,rodriguezjohn,Attack and loss finally laugh.,merged,2024-10-21,2024-10-22
49,11,john26,Little result paper seven measure.,closed,2025-03-27,
50,29,jacqueline89,Project chance road become person.,open,2025-06-25,
51,6,john26,Do house must when three.,open,2025-10-22,
52,12,nhahn,Tend religious occur.,open,2026-01-12,
53,26,iaguilar,Night buy nice court.,open,2026-02-25,
54,25,gabriel90,Serious whatever miss seek me affect.,open,2025-10-19,
55,27,rodriguezjohn,Conference affect skill early relationship thought.,open,2025-11-17,
56,9,gabriel90,Parent I and technology age join.,merged,2025-06-13,2025-06-15
57,4,grodriguez,Fish either boy between collection century.,closed,2025-05-23,
58,27,jeffrey88,Child weight question.,merged,2025-01-26,2025-01-28
59,31,vrasmussen,Consider require fear better central.,closed,2024-09-05,
60,29,ssalinas,Heart still building dark.,closed,2026-05-07,
61,25,vrasmussen,Door meet mean we especially five.,closed,2026-01-24,
62,40,erinpierce,Machine imagine do.,open,2025-09-01,
63,9,iaguilar,Never only big several.,closed,2026-05-02,
64,8,jeffrey88,Fight image base.,open,2025-11-12,
65,29,erinpierce,Situation central music collection.,open,2025-10-31,
66,21,erinpierce,Which new among spend which.,merged,2025-01-19,2025-01-24
67,34,vrasmussen,A value lot our.,closed,2025-10-20,
68,37,gabriel90,Yourself successful defense subject example.,closed,2026-03-29,
69,15,rodriguezjohn,None feel house but cause news.,closed,2024-11-18,
70,34,ystephens,Decision measure soon this war.,open,2025-02-13,
71,40,nhahn,Event production focus decision where.,closed,2025-10-31,
72,16,iaguilar,Position ability live.,open,2025-03-21,
73,25,ssalinas,Including time reflect several.,open,2026-05-13,
74,40,erinpierce,Much throughout staff.,closed,2025-08-21,
75,11,ystephens,Good spend still.,merged,2025-06-14,2025-06-25
76,32,grodriguez,Stuff speech worker by.,open,2025-04-11,
77,32,john26,Know develop after exactly.,merged,2025-04-20,2025-04-22
78,18,erinpierce,Course staff personal space determine.,merged,2026-05-28,2026-06-03
79,15,ystephens,Already manage region paper according.,closed,2026-07-10,
80,25,mjones,Book everyone matter color create.,closed,2026-07-13,
81,30,iaguilar,North assume campaign assume employee now.,merged,2026-01-15,2026-01-17
82,29,nhahn,Rock ever summer age wide question.,closed,2025-01-06,
83,29,john26,Third ability interview pull practice take.,open,2025-10-16,
84,2,nhahn,Ever quite level guess service.,merged,2025-03-17,2025-03-25
85,27,erinpierce,Another truth mother first.,open,2026-05-01,
86,36,erinpierce,Bank occur agent scene within.,closed,2025-05-06,
87,39,jacqueline89,True culture forget.,merged,2025-05-29,2025-06-11
88,20,jeffrey88,Benefit lose space or phone free economy.,closed,2024-09-07,
89,36,fuenteslaura,When strategy start mind.,closed,2024-10-10,
90,30,john26,Simply people shake.,closed,2025-01-13,
91,4,grodriguez,By window true help three really.,open,2025-10-24,
92,30,john26,Try kind feeling.,merged,2026-02-16,2026-03-02
93,40,jacqueline89,Big argue appear.,closed,2025-10-24,
94,24,gabriel90,Benefit sell do outside process.,open,2026-04-06,
95,8,nhahn,Less into per big prepare.,open,2024-07-31,
96,15,erinpierce,Law foreign court.,closed,2025-11-29,
97,23,grodriguez,Require or subject toward call meeting.,open,2024-10-07,
98,19,ystephens,Right know during someone art find.,closed,2025-04-09,
99,24,gabriel90,Find those simply challenge final.,closed,2025-06-07,
100,11,iaguilar,Wife military price certain down.,merged,2025-03-31,2025-04-01
101,27,nhahn,Teach instead crime customer training size.,merged,2026-03-14,2026-03-28
102,40,fuenteslaura,Reason word outside former official white.,open,2025-03-30,
103,26,fuenteslaura,Forget bit then treat many.,merged,2025-10-17,2025-10-19
104,13,gabriel90,Really level defense lose.,open,2026-05-27,
